year_end,calc_type,help_category,n,p,se,p_upper,p_lower
2013,From tax return sample,Debt reduced,5885,0.023140320386288032,0.0038411516646299033,0.026981472050917936,0.019299168721658128
2013,From tax return sample,Indexation and repayment balanced,2086,0.008202329367170236,0.0038704093940161097,0.012072738761186346,0.004331919973154127
2013,From tax return sample,No debt,228375,0.8979899181339898,0.0012412718636140047,0.8992311899976038,0.8967486462703758
2013,From tax return sample,No repayment,17972,0.070667432112552,0.003746544899297121,0.07441397701184913,0.06692088721325487
2014,From tax return sample,Debt reduced,5376,0.02077488464838044,0.003812544007128781,0.02458742865550922,0.01696234064125166
2014,From tax return sample,Indexation and repayment balanced,2655,0.010259917920656635,0.003832958990321856,0.014092876910978491,0.006426958930334779
2014,From tax return sample,No debt,229978,0.8887214326014206,0.0012852255669516211,0.8900066581683722,0.8874362070344689
2014,From tax return sample,No repayment,20765,0.08024376482954237,0.0036949618927874174,0.0839387267223298,0.07654880293675495
2015,From tax return sample,Debt reduced,6264,0.023786829903660302,0.0037735373513814847,0.027560367255041785,0.02001329255227882
2015,From tax return sample,Indexation and repayment balanced,2246,0.00852893039010553,0.00380291260569099,0.01233184299579652,0.00472601778441454
2015,From tax return sample,No debt,230905,0.8768355617663923,0.0013403523713977302,0.8781759141377901,0.8754952093949946
2015,From tax return sample,No repayment,23924,0.0908486779398418,0.0036416181857095537,0.09449029612555136,0.08720705975413225
2016,From tax return sample,Debt reduced,7591,0.0281524556907569,0.003720845436120007,0.031873301126876905,0.024431610254636894
2016,From tax return sample,Indexation and repayment balanced,1930,0.007157718282592652,0.0037608212403383505,0.010918539522931002,0.0033968970422543015
2016,From tax return sample,No debt,233865,0.8673263140717774,0.0013747855426598855,0.8687010996144373,0.8659515285291175
2016,From tax return sample,No repayment,26253,0.097363511954873,0.003585906832327886,0.10094941878720089,0.09377760512254511
2017,From tax return sample,Debt reduced,8698,0.031377839986724484,0.003663641193342091,0.03504148118006657,0.027714198793382393
2017,From tax return sample,Indexation and repayment balanced,2052,0.007402543993189082,0.0037087051906221045,0.011111249183811187,0.003693838802566978
2017,From tax return sample,No debt,237257,0.8558993080858003,0.0014130865616061917,0.8573123946474065,0.8544862215241941
2017,From tax return sample,No repayment,29195,0.10532030793428619,0.003521028359446904,0.10884133629373309,0.1017992795748393
2018,From tax return sample,Debt reduced,9769,0.03428621567079056,0.003608218672566766,0.03789443434335732,0.03067799699822379
2018,From tax return sample,Indexation and repayment balanced,2417,0.00848293410546635,0.0036561056017027286,0.01213903970716908,0.004826828503763621
